"Count","Source","Type","LiveAction","YearMade","PlexTitle","Episode","EpisodeName","StoryTime","PlexId","imdb","tmdb","tvdb"
101,"SCI_FI","Show","True",2001,"Stargate SG-1","s04e20","Entity",,"NULL","NULL","NULL","NULL"
102,"SCI_FI","Show","True",2001,"Stargate SG-1","s04e21","Double Jeopardy",,"NULL","NULL","NULL","NULL"
103,"SCI_FI","Show","True",2001,"Stargate SG-1","s04e22","Exodus (1)",,"NULL","NULL","NULL","NULL"
104,"SCI_FI","Show","True",2001,"Stargate SG-1","s05e01","Enemies (2)",,"NULL","NULL","NULL","NULL"
105,"SCI_FI","Show","True",2001,"Stargate SG-1","s05e02","Threshold (3)",,"NULL","NULL","NULL","NULL"
106,"SCI_FI","Show","True",2001,"Stargate SG-1","s05e03","Ascension",,"NULL","NULL","NULL","NULL"
107,"SCI_FI","Show","True",2001,"Stargate SG-1","s05e04","The Fifth Man",,"NULL","NULL","NULL","NULL"
108,"SCI_FI","Show","True",2001,"Stargate SG-1","s05e05","Red Sky",,"NULL","NULL","NULL","NULL"
109,"SCI_FI","Show","True",2001,"Stargate SG-1","s05e06","Rite of Passage",,"NULL","NULL","NULL","NULL"
110,"SCI_FI","Show","True",2001,"Stargate SG-1","s05e07","Beast of Burden",,"NULL","NULL","NULL","NULL"
111,"SCI_FI","Show","True",2001,"Stargate SG-1","s05e08","The Tomb",,"NULL","NULL","NULL","NULL"
112,"SCI_FI","Show","True",2001,"Stargate SG-1","s05e09","Between Two Fires",,"NULL","NULL","NULL","NULL"
113,"SCI_FI","Show","True",2001,"Stargate SG-1","s05e10","2001",,"NULL","NULL","NULL","NULL"
114,"SCI_FI","Show","True",2001,"Stargate SG-1","s05e11","Desperate Measures",,"NULL","NULL","NULL","NULL"
115,"SCI_FI","Show","True",2001,"Stargate SG-1","s05e12","Wormhole X-Treme!",,"NULL","NULL","NULL","NULL"
116,"SCI_FI","Show","True",2002,"Stargate SG-1","s05e13","Proving Ground",,"NULL","NULL","NULL","NULL"
117,"SCI_FI","Show","True",2002,"Stargate SG-1","s05e14","48 Hours",,"NULL","NULL","NULL","NULL"
